epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1487.12,1.28661,6.90496,1.05657,0.71285,0.57492,0.63866,0.28553,1.73099,9.37978,1.19491,0.00141615,0.00141615,0.00141615
78,1507.84,1.28206,6.85428,1.08979,0.72315,0.58062,0.64977,0.29734,1.68903,8.78727,1.18291,0.00141285,0.00141285,0.00141285
79,1525.66,1.28125,6.73094,1.06577,0.69676,0.59691,0.65022,0.29856,1.70413,9.11591,1.1795,0.00140955,0.00140955,0.00140955
80,1546.08,1.31392,7.16163,1.09306,0.6803,0.57357,0.6272,0.28138,1.71597,9.82155,1.1876,0.00140625,0.00140625,0.00140625
81,1570.41,1.24047,6.6654,1.0829,0.67992,0.57776,0.63058,0.28554,1.71745,9.1405,1.19384,0.00140295,0.00140295,0.00140295
82,1592.33,1.33761,7.00394,1.09096,0.7004,0.57493,0.63442,0.28107,1.7407,9.3526,1.19983,0.00139965,0.00139965,0.00139965
83,1612.98,1.28986,6.83745,1.08672,0.71189,0.55537,0.63175,0.28663,1.72724,9.42159,1.2103,0.00139635,0.00139635,0.00139635
84,1631.56,1.23059,6.56562,1.06936,0.70503,0.56759,0.64506,0.29875,1.70326,9.10926,1.18837,0.00139305,0.00139305,0.00139305
85,1654.79,1.22065,6.54432,1.08376,0.68923,0.57899,0.6338,0.28101,1.74683,9.57655,1.20655,0.00138974,0.00138974,0.00138974
86,1678.73,1.33316,7.28337,1.08474,0.683,0.5684,0.62345,0.2849,1.71888,9.63795,1.19353,0.00138644,0.00138644,0.00138644
87,1698.43,1.30385,7.32124,1.08194,0.64711,0.57192,0.60839,0.27381,1.74391,10.3413,1.22853,0.00138314,0.00138314,0.00138314
88,1716.63,1.30076,6.96021,1.08416,0.67138,0.54238,0.60844,0.27312,1.78175,9.8301,1.2493,0.00137984,0.00137984,0.00137984
89,1735.64,1.24581,6.59943,1.07481,0.66144,0.55523,0.62086,0.28262,1.71422,10.213,1.19101,0.00137654,0.00137654,0.00137654
90,1754.31,1.21005,6.64954,1.05739,0.69032,0.55782,0.62694,0.28911,1.69718,9.28786,1.18363,0.00137324,0.00137324,0.00137324
91,1778.08,1.29681,6.73224,1.05171,0.65694,0.56922,0.62356,0.28582,1.7264,9.28937,1.20622,0.00136994,0.00136994,0.00136994
92,1796.6,1.22172,6.49455,1.05215,0.67673,0.56352,0.62017,0.27954,1.75387,9.85021,1.20492,0.00136664,0.00136664,0.00136664
93,1816.48,1.26759,6.74682,1.07804,0.67901,0.55985,0.61483,0.28416,1.70235,9.10834,1.17827,0.00136334,0.00136334,0.00136334
94,1837.34,1.24275,6.55488,1.07057,0.69701,0.56761,0.63582,0.29697,1.67284,8.77804,1.17888,0.00136004,0.00136004,0.00136004
95,1856.85,1.25991,6.77637,1.07127,0.70191,0.55619,0.6358,0.29604,1.69598,8.88956,1.18512,0.00135674,0.00135674,0.00135674
96,1885.28,1.19167,6.36591,1.06336,0.6915,0.58713,0.64203,0.2993,1.70474,9.35111,1.18458,0.00135344,0.00135344,0.00135344
97,1905.5,1.17584,6.24653,1.04015,0.70239,0.57655,0.63825,0.28661,1.73961,9.32085,1.20835,0.00135014,0.00135014,0.00135014
98,1929.47,1.25508,6.43239,1.03394,0.71096,0.58388,0.64678,0.29939,1.6995,8.86361,1.19722,0.00134684,0.00134684,0.00134684
99,1948.88,1.23992,6.4449,1.0278,0.7359,0.5741,0.66248,0.31127,1.67965,8.79461,1.1853,0.00134354,0.00134354,0.00134354
100,1980.81,1.28909,6.56897,1.04467,0.66477,0.61156,0.647,0.30114,1.69271,8.93161,1.17684,0.00134023,0.00134023,0.00134023
101,2009.89,1.23486,6.64588,1.06044,0.66478,0.59753,0.64102,0.30038,1.66962,8.94229,1.17013,0.00133693,0.00133693,0.00133693
102,2034.8,1.23078,6.52703,1.04428,0.65302,0.59311,0.62832,0.27544,1.75092,9.17222,1.22323,0.00133363,0.00133363,0.00133363
103,2054.54,1.29989,6.68394,1.06404,0.69237,0.60586,0.64695,0.2873,1.75664,8.97922,1.20992,0.00133033,0.00133033,0.00133033
104,2075.71,1.29344,6.67173,1.05812,0.70463,0.58279,0.64041,0.28356,1.75222,9.47184,1.21147,0.00132703,0.00132703,0.00132703
