epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1021.61,1.6357,9.14613,1.15239,0.6113,0.49562,0.54432,0.22378,1.91725,10.1914,1.24797,0.00144916,0.00144916,0.00144916
68,1033.83,1.60094,8.62219,1.13787,0.63428,0.54967,0.58673,0.24902,1.83758,9.74216,1.20933,0.00144586,0.00144586,0.00144586
69,1045.94,1.60292,8.89833,1.15382,0.62997,0.54235,0.57431,0.24689,1.85863,10.0931,1.21437,0.00144256,0.00144256,0.00144256
70,1057.28,1.65352,10.4988,1.17329,0.61197,0.5513,0.57293,0.24663,1.86835,9.80904,1.21643,0.00143925,0.00143925,0.00143925
71,1068.72,1.59935,9.20868,1.15932,0.59762,0.50651,0.53758,0.2319,1.88491,10.0641,1.23266,0.00143595,0.00143595,0.00143595
72,1085.45,1.59456,8.96003,1.1423,0.62349,0.51547,0.55903,0.24002,1.86252,10.4716,1.2134,0.00143265,0.00143265,0.00143265
73,1097.55,1.60737,8.68886,1.12203,0.58927,0.49511,0.52326,0.21832,1.934,10.4687,1.23815,0.00142935,0.00142935,0.00142935
74,1109.19,1.56394,8.58688,1.14626,0.68804,0.53909,0.58872,0.2475,1.86395,9.69284,1.207,0.00142605,0.00142605,0.00142605
75,1121.21,1.57296,8.28607,1.09999,0.63855,0.53094,0.56738,0.24353,1.86765,9.63372,1.22205,0.00142275,0.00142275,0.00142275
76,1132.63,1.55923,8.48351,1.1359,0.68095,0.53339,0.5919,0.25551,1.81446,9.54846,1.20236,0.00141945,0.00141945,0.00141945
77,1144.71,1.50841,8.45917,1.14312,0.66476,0.52157,0.58161,0.25133,1.84753,9.52645,1.21571,0.00141615,0.00141615,0.00141615
78,1157.22,1.51096,8.14578,1.11522,0.66642,0.53523,0.58962,0.25215,1.84064,9.66561,1.21566,0.00141285,0.00141285,0.00141285
79,1179.45,1.52309,8.25622,1.1402,0.63802,0.56408,0.59769,0.25421,1.81931,9.40053,1.19851,0.00140955,0.00140955,0.00140955
80,1191.36,1.5216,8.15197,1.11731,0.65561,0.54072,0.58623,0.25719,1.80715,9.49364,1.1959,0.00140625,0.00140625,0.00140625
81,1210.19,1.50151,8.35829,1.11548,0.66736,0.53094,0.59671,0.25587,1.80997,9.6259,1.18103,0.00140295,0.00140295,0.00140295
82,1223.38,1.53794,8.61813,1.14559,0.6405,0.54397,0.59554,0.25383,1.78907,9.6096,1.15791,0.00139965,0.00139965,0.00139965
83,1236.01,1.54774,8.67991,1.13355,0.59966,0.50244,0.53744,0.23339,1.83684,9.82017,1.1835,0.00139635,0.00139635,0.00139635
84,1248.56,1.54795,8.07925,1.09782,0.66262,0.56107,0.6108,0.2679,1.77181,9.27488,1.1745,0.00139305,0.00139305,0.00139305
85,1260,1.60253,8.40054,1.12411,0.60839,0.53502,0.56942,0.251,1.81039,9.46441,1.18183,0.00138974,0.00138974,0.00138974
86,1275.04,1.49426,8.18527,1.09983,0.65228,0.54535,0.5908,0.25605,1.8163,9.59595,1.19806,0.00138644,0.00138644,0.00138644
87,1294.51,1.49388,8.14387,1.12945,0.61643,0.5342,0.568,0.24957,1.84914,9.64034,1.20002,0.00138314,0.00138314,0.00138314
88,1309.37,1.52315,8.19236,1.08556,0.66459,0.55828,0.61527,0.26284,1.8378,9.44014,1.19278,0.00137984,0.00137984,0.00137984
89,1320.79,1.53302,8.11257,1.10011,0.6509,0.56759,0.61307,0.26415,1.80996,9.33387,1.18832,0.00137654,0.00137654,0.00137654
90,1333.27,1.45896,7.78101,1.10819,0.6471,0.56189,0.60875,0.26302,1.83257,9.3223,1.20263,0.00137324,0.00137324,0.00137324
91,1345.1,1.53085,8.18849,1.11117,0.66101,0.56352,0.60935,0.26344,1.82991,9.27922,1.20785,0.00136994,0.00136994,0.00136994
92,1358.6,1.48908,8.19698,1.12632,0.63712,0.56905,0.60537,0.26358,1.81352,9.24363,1.21266,0.00136664,0.00136664,0.00136664
93,1371.69,1.54394,8.41619,1.09533,0.65974,0.54235,0.61012,0.26665,1.81017,9.39333,1.20374,0.00136334,0.00136334,0.00136334
94,1384.37,1.39405,7.84434,1.10387,0.66116,0.58143,0.62117,0.26909,1.81607,9.11319,1.20535,0.00136004,0.00136004,0.00136004
95,1395.66,1.5045,7.90409,1.09526,0.61202,0.49071,0.54539,0.23152,1.91303,9.43809,1.23388,0.00135674,0.00135674,0.00135674
96,1407.11,1.50055,7.96783,1.09945,0.65695,0.58062,0.62243,0.27271,1.77524,9.08401,1.17897,0.00135344,0.00135344,0.00135344
97,1419.85,1.51547,7.8509,1.09281,0.64776,0.52606,0.57871,0.25783,1.83038,9.3122,1.20427,0.00135014,0.00135014,0.00135014
98,1430.88,1.66419,8.87795,1.06917,0.62904,0.51644,0.56437,0.25633,1.82108,9.36357,1.19781,0.00134684,0.00134684,0.00134684
99,1442.41,1.49158,8.05094,1.11927,0.65971,0.52571,0.59369,0.25659,1.82819,9.33959,1.1906,0.00134354,0.00134354,0.00134354
100,1454.76,1.55294,7.92775,1.07553,0.6859,0.51221,0.5796,0.25211,1.84877,9.26471,1.2128,0.00134023,0.00134023,0.00134023
101,1468.61,1.56971,8.07035,1.11231,0.65388,0.56766,0.61044,0.26646,1.81588,9.3468,1.1873,0.00133693,0.00133693,0.00133693
102,1481.31,1.47794,7.92116,1.0959,0.64416,0.54886,0.59356,0.2586,1.82912,9.3905,1.19281,0.00133363,0.00133363,0.00133363
103,1493.27,1.48135,7.73593,1.08737,0.67855,0.53339,0.59719,0.26445,1.79481,9.4745,1.19376,0.00133033,0.00133033,0.00133033
104,1506.04,1.58161,8.07979,1.10108,0.68288,0.55063,0.62344,0.27214,1.8125,9.00986,1.20029,0.00132703,0.00132703,0.00132703
105,1518.2,1.48775,7.74888,1.08884,0.64679,0.52199,0.58628,0.25345,1.85608,9.47006,1.21346,0.00132373,0.00132373,0.00132373
106,1529.99,1.50004,7.95347,1.08913,0.62351,0.56373,0.60049,0.26017,1.84174,9.41484,1.21003,0.00132043,0.00132043,0.00132043
107,1541.9,1.53118,7.88453,1.10542,0.6553,0.54959,0.5986,0.26268,1.81641,9.34715,1.20618,0.00131713,0.00131713,0.00131713
108,1556.84,1.54159,7.81096,1.09428,0.67694,0.54072,0.59858,0.26007,1.79882,9.1616,1.17264,0.00131383,0.00131383,0.00131383
109,1569.36,1.50159,7.74581,1.06948,0.67514,0.55863,0.60943,0.27112,1.77968,9.2234,1.17122,0.00131053,0.00131053,0.00131053
110,1581.05,1.39132,7.63506,1.09588,0.64606,0.5485,0.6065,0.26639,1.79227,9.11343,1.19129,0.00130723,0.00130723,0.00130723
111,1592.39,1.47478,7.8641,1.09203,0.67324,0.5456,0.6192,0.27178,1.78398,9.05014,1.19873,0.00130393,0.00130393,0.00130393
112,1604.53,1.40201,7.54544,1.08079,0.70043,0.55537,0.618,0.27733,1.76771,8.9626,1.18175,0.00130063,0.00130063,0.00130063
113,1616.67,1.42346,7.5368,1.06555,0.68943,0.56582,0.62885,0.2747,1.79512,8.94578,1.21084,0.00129733,0.00129733,0.00129733
114,1628.08,1.46737,7.56124,1.07202,0.7076,0.55782,0.6333,0.27942,1.77944,8.82145,1.19294,0.00129403,0.00129403,0.00129403
115,1639.96,1.42117,7.4335,1.07527,0.64925,0.55212,0.60678,0.2652,1.82072,9.06098,1.19593,0.00129072,0.00129072,0.00129072
116,1653.06,1.43774,8.59487,1.08324,0.70528,0.53013,0.62763,0.27867,1.77296,9.10106,1.17899,0.00128742,0.00128742,0.00128742
117,1680.75,1.43551,7.50068,1.05478,0.66377,0.52932,0.60957,0.26487,1.81565,9.34127,1.1898,0.00128412,0.00128412,0.00128412
118,1693.99,1.42687,7.61516,1.07473,0.71505,0.54562,0.6179,0.26766,1.78124,9.15904,1.16879,0.00128082,0.00128082,0.00128082
119,1708.36,1.41317,7.35116,1.06859,0.69279,0.55212,0.62412,0.27828,1.76881,8.91634,1.16981,0.00127752,0.00127752,0.00127752
120,1720.28,1.40398,7.4125,1.0586,0.70551,0.55293,0.62919,0.27516,1.77463,8.99513,1.16742,0.00127422,0.00127422,0.00127422
121,1768.56,1.33784,7.10143,1.07192,0.71291,0.55409,0.62874,0.28051,1.76257,8.95275,1.1652,0.00127092,0.00127092,0.00127092
122,1782.48,1.43615,7.59669,1.08742,0.67962,0.55105,0.61314,0.27495,1.78088,9.05694,1.16321,0.00126762,0.00126762,0.00126762
123,1794.66,1.42108,7.50387,1.05218,0.70207,0.55782,0.63392,0.2798,1.75859,8.97045,1.18326,0.00126432,0.00126432,0.00126432
124,1806.93,1.40109,7.3972,1.06716,0.66163,0.5627,0.62898,0.28297,1.75826,8.76003,1.18414,0.00126102,0.00126102,0.00126102
125,1820.04,1.37374,7.13809,1.06133,0.70594,0.53827,0.62241,0.27789,1.78014,9.07923,1.18847,0.00125772,0.00125772,0.00125772
126,1833.19,1.41924,7.44722,1.08092,0.70957,0.54153,0.63526,0.2851,1.75731,8.93296,1.1756,0.00125442,0.00125442,0.00125442
